epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.6796875,,0.673830509185791,,,,,,
0,,95,,,,,0.5185546875,0.23032616078853607,0.30399924516677856,0.2145974487066269,1.0256999731063843,0.3788938522338867
0,,95,0.49853515625,,0.9353267550468445,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.4765625,,1.0867630243301392,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.53125,,0.7652531266212463,,,,,,
1,,191,,,,,0.5335286259651184,0.2629031240940094,0.35801687836647034,0.2546033263206482,1.0226370096206665,0.4214933216571808
1,,191,0.5292155146598816,,0.8954350352287292,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.3515625,,1.296330451965332,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.5234375,,0.8343127965927124,,,,,,
2,,287,,,,,0.4996744692325592,0.2584554851055145,0.3335426151752472,0.23220108449459076,1.1233352422714233,0.3967432677745819
2,,287,0.5487467646598816,,0.8759611248970032,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.6328125,,0.999359130859375,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.546875,,1.0822232961654663,,,,,,
3,,383,,,,,0.5452473759651184,0.28700581192970276,0.3947407305240631,0.2790396511554718,1.071002721786499,0.4692744016647339
3,,383,0.595947265625,,0.8503336906433105,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.6171875,,0.7658790946006775,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.6484375,,0.7247387170791626,,,,,,
4,,479,,,,,0.6025390625,0.30539458990097046,0.46973690390586853,0.34725356101989746,0.8818613886833191,0.5093862414360046
4,,479,0.6097005009651184,,0.8346386551856995,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.8046875,,0.573065996170044,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.6015625,,0.7932913899421692,,,,,,
5,,575,,,,,0.5807291865348816,0.2991783022880554,0.4538838565349579,0.32999029755592346,0.9242549538612366,0.5191351771354675
5,,575,0.6429036259651184,,0.8044961094856262,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.734375,,0.6261905431747437,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.6328125,,0.6662175059318542,,,,,,
6,,671,,,,,0.6494140625,0.32812371850013733,0.5030162930488586,0.3839670419692993,0.847266435623169,0.5181891322135925
6,,671,0.6651204228401184,,0.7755879759788513,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.6640625,,0.8228235840797424,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.6328125,,0.9105561375617981,,,,,,
7,,767,,,,,0.671875,0.3410581350326538,0.5233193635940552,0.4069436490535736,0.805147111415863,0.542996346950531
7,,767,0.6722005009651184,,0.7644863128662109,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.6953125,,0.6287636756896973,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.65625,,0.6507734060287476,,,,,,
8,,863,,,,,0.6884765625,0.34924623370170593,0.5360096096992493,0.4208664000034332,0.7876284718513489,0.5544031262397766
8,,863,0.6814778447151184,,0.7485618591308594,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.6484375,,1.0626055002212524,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.640625,,0.8138893246650696,,,,,,
9,,959,,,,,0.6686198115348816,0.34195080399513245,0.5234793424606323,0.40663161873817444,0.7718396782875061,0.5815805196762085
9,,959,0.7041829228401184,,0.7184796333312988,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.7578125,,0.6614742279052734,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.765625,,0.6578452587127686,,,,,,
10,,1055,,,,,0.7109375,0.35124945640563965,0.5365893244743347,0.42774638533592224,0.7505903840065002,0.5724723935127258
10,,1055,0.7060546875,,0.7053797245025635,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.6171875,,0.7859777212142944,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.734375,,0.6173378229141235,,,,,,
11,,1151,,,,,0.7115885615348816,0.3603707551956177,0.5559412837028503,0.44872018694877625,0.718250036239624,0.590916097164154
11,,1151,0.7071940302848816,,0.6845402121543884,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.7421875,,0.5499539971351624,,,,,,
12,,1247,,,,,0.69921875,0.41165685653686523,0.5479220151901245,0.4335714876651764,0.7358083724975586,0.607205331325531
12,,1247,0.7142741084098816,,0.6828269362449646,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.6484375,,0.7688627243041992,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.796875,,0.49871498346328735,,,,,,
13,,1343,,,,,0.7265625,0.4072551429271698,0.5980686545372009,0.47700461745262146,0.679373562335968,0.6155509352684021
13,,1343,0.7201334834098816,,0.655457615852356,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.671875,,0.6958076357841492,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.8203125,,0.4345962107181549,,,,,,
14,,1439,,,,,0.75390625,0.4307057559490204,0.606953501701355,0.49484673142433167,0.6287262439727783,0.6227445006370544
14,,1439,0.72119140625,,0.6482121348381042,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.78125,,0.5140215158462524,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.7421875,,0.5998632907867432,,,,,,
15,,1535,,,,,0.7568359375,0.43446967005729675,0.601403534412384,0.4923524558544159,0.6314918398857117,0.6235864758491516
15,,1535,0.7298176884651184,,0.6262632012367249,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.625,,0.719240665435791,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.765625,,0.4710238575935364,,,,,,
16,,1631,,,,,0.7366536259651184,0.42749643325805664,0.5895060896873474,0.4757908284664154,0.6161447763442993,0.6256043314933777
16,,1631,0.7357584834098816,,0.6144120097160339,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.734375,,0.6038628220558167,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.65625,,0.6248284578323364,,,,,,
17,,1727,,,,,0.7513020634651184,0.4378224313259125,0.5811154246330261,0.47144103050231934,0.6103611588478088,0.6381061673164368
17,,1727,0.7431640625,,0.6045928001403809,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.7734375,,0.5513899326324463,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.703125,,0.8949763178825378,,,,,,
18,,1823,,,,,0.7701823115348816,0.44621598720550537,0.6056202054023743,0.5026605725288391,0.5861638784408569,0.6355435848236084
18,,1823,0.7538248896598816,,0.5861822962760925,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.7421875,,0.4935130476951599,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.671875,,0.6544334888458252,,,,,,
19,,1919,,,,,0.7161458134651184,0.431833952665329,0.5524734854698181,0.43913760781288147,0.6771472096443176,0.6139892339706421
19,,1919,0.7535807490348816,,0.5760846734046936,,,,,,,
