epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.6953125,,0.5772967338562012,,,,,,
0,,95,,,,,0.6663411259651184,0.34494689106941223,0.5198097825050354,0.4016225337982178,0.7986540794372559,0.5364987254142761
0,,95,0.6219889521598816,,0.8240286707878113,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.625,,0.8290367126464844,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.609375,,0.7371495962142944,,,,,,
1,,191,,,,,0.6624348759651184,0.3289819657802582,0.5001303553581238,0.38336610794067383,0.7860839366912842,0.5508036017417908
1,,191,0.6482747197151184,,0.7649673819541931,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.578125,,0.9978299140930176,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.625,,0.7010051608085632,,,,,,
2,,287,,,,,0.6575520634651184,0.3357810080051422,0.4946514666080475,0.37603044509887695,0.7914583086967468,0.5562434196472168
2,,287,0.65576171875,,0.7452084422111511,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.6640625,,0.8798584342002869,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.53125,,0.9056498408317566,,,,,,
3,,383,,,,,0.6800130009651184,0.37066230177879333,0.5403205752372742,0.4191116988658905,0.7574347853660583,0.5603384971618652
3,,383,0.662353515625,,0.7294130921363831,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.53125,,0.8852396011352539,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.6640625,,0.671480655670166,,,,,,
4,,479,,,,,0.6845703125,0.38993576169013977,0.5698159337043762,0.4444262683391571,0.7499759793281555,0.5629972815513611
4,,479,0.6687825322151184,,0.7152437567710876,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.7734375,,0.5678022503852844,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.6796875,,0.7085444331169128,,,,,,
5,,575,,,,,0.6962890625,0.3963721692562103,0.5798908472061157,0.45664581656455994,0.7363240718841553,0.5626582503318787
5,,575,0.6806640625,,0.7034716010093689,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.71875,,0.648296594619751,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.8203125,,0.5609389543533325,,,,,,
6,,671,,,,,0.7041015625,0.4004429280757904,0.5860169529914856,0.4635700285434723,0.7181472778320312,0.5720668435096741
6,,671,0.6865234375,,0.691251277923584,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.765625,,0.6095048189163208,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.75,,0.7850155234336853,,,,,,
7,,767,,,,,0.6888020634651184,0.3809094727039337,0.5636357665061951,0.43863722681999207,0.7458781599998474,0.5651734471321106
7,,767,0.690673828125,,0.6828728318214417,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.75,,0.5483959913253784,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.7265625,,0.6076394319534302,,,,,,
8,,863,,,,,0.6136067509651184,0.37346458435058594,0.4399733543395996,0.3266960680484772,1.6089891195297241,0.5476016402244568
8,,863,0.69580078125,,0.6761376261711121,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.6484375,,0.8641327619552612,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.609375,,0.7538260817527771,,,,,,
9,,959,,,,,0.5556640625,0.3246136009693146,0.38292577862739563,0.2805294692516327,2.4977710247039795,0.4955173432826996
9,,959,0.7013346552848816,,0.6604039669036865,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.703125,,0.6003323793411255,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.7109375,,0.7180811166763306,,,,,,
10,,1055,,,,,0.7099609375,0.40185093879699707,0.5900606513023376,0.4670437276363373,0.7111977934837341,0.5819893479347229
10,,1055,0.7139485478401184,,0.6509478688240051,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.640625,,0.7712160348892212,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.6953125,,0.5892560482025146,,,,,,
11,,1151,,,,,0.7132161259651184,0.38834479451179504,0.5651527047157288,0.44305136799812317,0.7086448669433594,0.5764140486717224
11,,1151,0.7174479365348816,,0.6412715315818787,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.75,,0.5243926644325256,,,,,,
12,,1247,,,,,0.7076823115348816,0.3827139437198639,0.5557350516319275,0.4338412284851074,0.7066261172294617,0.5885218977928162
12,,1247,0.7218424677848816,,0.6309953331947327,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.6484375,,0.6570296287536621,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.765625,,0.48282676935195923,,,,,,
13,,1343,,,,,0.7301432490348816,0.40577349066734314,0.5933063626289368,0.471259742975235,0.7001821994781494,0.5872209072113037
13,,1343,0.7256672978401184,,0.6200800538063049,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.703125,,0.6067014932632446,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.7890625,,0.5123475193977356,,,,,,
14,,1439,,,,,0.7405598759651184,0.4132154881954193,0.5912311673164368,0.4714326560497284,0.6761131882667542,0.5950817465782166
14,,1439,0.7352702021598816,,0.6051337122917175,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.8203125,,0.4186657965183258,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.78125,,0.5051711797714233,,,,,,
15,,1535,,,,,0.7454426884651184,0.4245484173297882,0.5992012023925781,0.48192283511161804,0.6773895621299744,0.5996955633163452
15,,1535,0.739990234375,,0.5979041457176208,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.7578125,,0.5606067180633545,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.7734375,,0.4838610887527466,,,,,,
16,,1631,,,,,0.7431640625,0.4280585050582886,0.6004593968391418,0.48207351565361023,0.6698544025421143,0.6041936278343201
16,,1631,0.7493489384651184,,0.5807602405548096,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7578125,,0.5264573693275452,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.7421875,,0.5235329270362854,,,,,,
17,,1727,,,,,0.7037760615348816,0.40589606761932373,0.5910237431526184,0.4625198543071747,0.7377079129219055,0.6002383232116699
17,,1727,0.7469075322151184,,0.5790035128593445,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.7578125,,0.6561072468757629,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.71875,,0.8474019169807434,,,,,,
18,,1823,,,,,0.7395833134651184,0.4146590232849121,0.5946566462516785,0.4740265905857086,0.6881254315376282,0.6058844327926636
18,,1823,0.7535807490348816,,0.5650811791419983,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.765625,,0.5845998525619507,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.7421875,,0.6065047383308411,,,,,,
19,,1919,,,,,0.7220051884651184,0.39186134934425354,0.5625227093696594,0.44412100315093994,0.727973222732544,0.6038600206375122
19,,1919,0.7591959834098816,,0.5616477131843567,,,,,,,
,0.001,1920,,,,,,,,,,
,0.001,1949,,,,,,,,,,
20,,1949,,0.6953125,,0.7851008176803589,,,,,,
,0.001,1999,,,,,,,,,,
20,,1999,,0.8046875,,0.49172207713127136,,,,,,
20,,2015,,,,,0.7216796875,0.38579773902893066,0.5553590655326843,0.43633970618247986,0.7432897090911865,0.609840989112854
20,,2015,0.7615559697151184,,0.5505528450012207,,,,,,,
,0.001,2016,,,,,,,,,,
,0.001,2049,,,,,,,,,,
21,,2049,,0.765625,,0.4491468667984009,,,,,,
,0.001,2099,,,,,,,,,,
