epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.6484375,,0.7316379547119141,,,,,,
0,,95,,,,,0.5367838740348816,0.2139367014169693,0.30482229590415955,0.22387103736400604,0.9661121368408203,0.4262479543685913
0,,95,0.5048828125,,0.9488210678100586,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.578125,,0.7262678742408752,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.5859375,,0.7109403610229492,,,,,,
1,,191,,,,,0.5732421875,0.2831888794898987,0.3672642707824707,0.26497921347618103,0.9490848183631897,0.4958459436893463
1,,191,0.5152994990348816,,0.8849756717681885,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.640625,,0.7090295553207397,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.40625,,1.0241718292236328,,,,,,
2,,287,,,,,0.5553385615348816,0.2784002125263214,0.4040416479110718,0.2903982102870941,0.9426845908164978,0.4946300685405731
2,,287,0.558349609375,,0.8736552596092224,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.578125,,1.035282850265503,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.484375,,1.2139763832092285,,,,,,
3,,383,,,,,0.5400390625,0.2538526952266693,0.3316786587238312,0.23943305015563965,1.4572242498397827,0.46961653232574463
3,,383,0.5653483271598816,,0.8567352890968323,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.59375,,0.6981163024902344,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.609375,,0.7429724931716919,,,,,,
4,,479,,,,,0.5986328125,0.28652143478393555,0.3873196542263031,0.2851131558418274,1.086459755897522,0.5447364449501038
4,,479,0.5887858271598816,,0.8328640460968018,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.671875,,0.6999229192733765,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.5546875,,0.7457109689712524,,,,,,
5,,575,,,,,0.640625,0.3730994760990143,0.444511741399765,0.3343605101108551,0.8777768015861511,0.561555802822113
5,,575,0.6041666865348816,,0.805503785610199,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.6015625,,0.8214771747589111,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.671875,,0.6231624484062195,,,,,,
6,,671,,,,,0.6627604365348816,0.35647013783454895,0.46570447087287903,0.3539314270019531,0.8134292960166931,0.5817657113075256
6,,671,0.6316731572151184,,0.7763910293579102,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.59375,,0.7375933527946472,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.640625,,0.7748148441314697,,,,,,
7,,767,,,,,0.6728515625,0.3715536594390869,0.5103819966316223,0.39124467968940735,0.8050621151924133,0.5952511429786682
7,,767,0.6595866084098816,,0.7468964457511902,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.7109375,,0.6214748024940491,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.578125,,0.8590859174728394,,,,,,
8,,863,,,,,0.5758463740348816,0.3541930615901947,0.4170186519622803,0.3029862344264984,1.0012528896331787,0.5672458410263062
8,,863,0.662353515625,,0.7408172488212585,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.671875,,0.6837369203567505,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.7109375,,0.5756840109825134,,,,,,
9,,959,,,,,0.3235677182674408,0.23234736919403076,0.2356404811143875,0.15060760080814362,7.234591960906982,0.4535905122756958
9,,959,0.676025390625,,0.7165250778198242,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.59375,,1.0911707878112793,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.7421875,,0.5268751978874207,,,,,,
10,,1055,,,,,0.5013020634651184,0.3171807825565338,0.3171807825565338,0.22617954015731812,2.0408222675323486,0.5362868309020996
10,,1055,0.6788737177848816,,0.7120148539543152,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.515625,,1.369594931602478,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.75,,0.5588940382003784,,,,,,
11,,1151,,,,,0.703125,0.43016430735588074,0.5292585492134094,0.4201962649822235,0.787200927734375,0.6426780819892883
11,,1151,0.6927083134651184,,0.6900877356529236,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.796875,,0.5011253356933594,,,,,,
12,,1247,,,,,0.7255859375,0.44349685311317444,0.5618326663970947,0.44996047019958496,0.7101089954376221,0.6604368090629578
12,,1247,0.6993001103401184,,0.6768931746482849,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.6484375,,0.6925780773162842,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.765625,,0.5188761949539185,,,,,,
13,,1343,,,,,0.7249348759651184,0.4198388159275055,0.5589860081672668,0.44667255878448486,0.6998099684715271,0.6500330567359924
13,,1343,0.709716796875,,0.6612100005149841,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.6796875,,0.6744163036346436,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.6875,,0.8006736636161804,,,,,,
14,,1439,,,,,0.7259114384651184,0.43620193004608154,0.5920329689979553,0.4738081991672516,0.6808271408081055,0.6666703820228577
14,,1439,0.7205403447151184,,0.6496903300285339,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.78125,,0.5715930461883545,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.6875,,0.6287401914596558,,,,,,
15,,1535,,,,,0.71875,0.42093098163604736,0.5758538842201233,0.45796966552734375,0.7320985198020935,0.6609538197517395
15,,1535,0.7211100459098816,,0.6312941312789917,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.6484375,,0.8386425375938416,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.7734375,,0.5678507089614868,,,,,,
16,,1631,,,,,0.7418619990348816,0.4407118260860443,0.5951265692710876,0.48403021693229675,0.6730473041534424,0.6609976887702942
16,,1631,0.7228190302848816,,0.6391262412071228,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7265625,,0.5460578203201294,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.6484375,,0.6821548342704773,,,,,,
17,,1727,,,,,0.7431640625,0.4429735839366913,0.6063327193260193,0.4924146234989166,0.6727334856987,0.6656429767608643
17,,1727,0.7316080927848816,,0.625259518623352,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.8125,,0.46692293882369995,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.5546875,,1.4060184955596924,,,,,,
18,,1823,,,,,0.650390625,0.406240314245224,0.4698888063430786,0.3596254587173462,0.8538811802864075,0.6176998019218445
18,,1823,0.7399088740348816,,0.6166837811470032,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.703125,,0.5657607316970825,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.7265625,,0.6483883857727051,,,,,,
19,,1919,,,,,0.7548828125,0.4463961124420166,0.6131033301353455,0.5019065737724304,0.6530171632766724,0.6776168942451477
19,,1919,0.7347005009651184,,0.6134739518165588,,,,,,,
,0.001,1920,,,,,,,,,,
,0.001,1949,,,,,,,,,,
20,,1949,,0.796875,,0.5352686643600464,,,,,,
,0.001,1999,,,,,,,,,,
20,,1999,,0.71875,,0.6351324915885925,,,,,,
20,,2015,,,,,0.7425130009651184,0.4275810718536377,0.592597484588623,0.47727859020233154,0.6769733428955078,0.6776518225669861
20,,2015,0.750244140625,,0.5920809507369995,,,,,,,
,0.001,2016,,,,,,,,,,
,0.001,2049,,,,,,,,,,
21,,2049,,0.78125,,0.5102552175521851,,,,,,
,0.001,2099,,,,,,,,,,
21,,2099,,0.703125,,0.6618379354476929,,,,,,
