epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.6328125,,0.7766227722167969,,,,,,
0,,95,,,,,0.3688150942325592,0.21737687289714813,0.24828894436359406,0.15905331075191498,3.089700698852539,0.37982261180877686
0,,95,0.5034993290901184,,0.9541764855384827,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.5625,,0.729898989200592,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.6015625,,0.7563207745552063,,,,,,
1,,191,,,,,0.5481770634651184,0.21205593645572662,0.30641448497772217,0.22972874343395233,0.9650962352752686,0.4083119332790375
1,,191,0.54541015625,,0.8834962844848633,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.640625,,0.7131593227386475,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.546875,,0.9879395961761475,,,,,,
2,,287,,,,,0.5455729365348816,0.27562180161476135,0.3147965967655182,0.22428686916828156,1.130776047706604,0.44600749015808105
2,,287,0.5467936396598816,,0.8803585171699524,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.4921875,,1.0917134284973145,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.546875,,1.1339735984802246,,,,,,
3,,383,,,,,0.6123046875,0.31233489513397217,0.4485650956630707,0.3328733444213867,0.9358531832695007,0.5355667471885681
3,,383,0.5638020634651184,,0.8655998706817627,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.6171875,,0.6945574283599854,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.546875,,0.8163031935691833,,,,,,
4,,479,,,,,0.6044921875,0.3060418665409088,0.44099950790405273,0.3268415629863739,0.8894490599632263,0.5695984959602356
4,,479,0.6058756709098816,,0.8345146179199219,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.6796875,,0.6510142087936401,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.6796875,,0.684485912322998,,,,,,
5,,575,,,,,0.5699869990348816,0.3139009475708008,0.4051937162876129,0.2951567471027374,1.0103673934936523,0.5362867712974548
5,,575,0.62353515625,,0.809588611125946,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.6796875,,0.8268101215362549,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.7109375,,0.6415988206863403,,,,,,
6,,671,,,,,0.6770833134651184,0.34797462821006775,0.49172988533973694,0.3839513063430786,0.8098711967468262,0.5837847590446472
6,,671,0.6453450322151184,,0.7840664982795715,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.5859375,,0.7356654405593872,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.6171875,,0.8430420160293579,,,,,,
7,,767,,,,,0.6787109375,0.3499855697154999,0.49583545327186584,0.38814064860343933,0.8031987547874451,0.5967552065849304
7,,767,0.649169921875,,0.7783573269844055,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.7578125,,0.5717429518699646,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.5859375,,0.7667065858840942,,,,,,
8,,863,,,,,0.6487630009651184,0.3124367296695709,0.44956445693969727,0.34102606773376465,0.8632463812828064,0.5653426051139832
8,,863,0.6587727665901184,,0.7651651501655579,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.71875,,0.6820358633995056,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.734375,,0.6636672019958496,,,,,,
9,,959,,,,,0.6865234375,0.352992981672287,0.5086641311645508,0.3996131122112274,0.7824214100837708,0.610019326210022
9,,959,0.6783854365348816,,0.7368821501731873,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.5859375,,1.3169056177139282,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.796875,,0.5335983037948608,,,,,,
10,,1055,,,,,0.6988932490348816,0.35679891705513,0.5163812041282654,0.40942835807800293,0.7752751708030701,0.6161293387413025
10,,1055,0.6891276240348816,,0.722498893737793,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.5078125,,1.329704999923706,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.6875,,0.7051917314529419,,,,,,
11,,1151,,,,,0.7027994990348816,0.3590000867843628,0.49443092942237854,0.3924407660961151,0.757678210735321,0.6014382839202881
11,,1151,0.6919758915901184,,0.7163650393486023,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.8046875,,0.5093859434127808,,,,,,
12,,1247,,,,,0.7174479365348816,0.36738327145576477,0.5327188372612,0.4308352768421173,0.7421071529388428,0.6284729838371277
12,,1247,0.7000325322151184,,0.7069584727287292,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.765625,,0.5402047038078308,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.765625,,0.55045086145401,,,,,,
13,,1343,,,,,0.7145182490348816,0.3628101646900177,0.5239518284797668,0.41980305314064026,0.7733599543571472,0.6065711975097656
13,,1343,0.7125651240348816,,0.685366690158844,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.671875,,0.9080954790115356,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.6796875,,0.7132260203361511,,,,,,
14,,1439,,,,,0.7294921875,0.37321850657463074,0.5409389138221741,0.4407634735107422,0.736276388168335,0.6429668664932251
14,,1439,0.7108561396598816,,0.6806180477142334,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.7109375,,0.7013782262802124,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.65625,,0.7985965013504028,,,,,,
15,,1535,,,,,0.7001953125,0.3645554780960083,0.5235450267791748,0.41661718487739563,0.7642385363578796,0.6292009949684143
15,,1535,0.7240397334098816,,0.6666517853736877,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.609375,,0.9223036766052246,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.7265625,,0.6754305958747864,,,,,,
16,,1631,,,,,0.7141926884651184,0.3731403052806854,0.5240359902381897,0.41944754123687744,0.7715575098991394,0.6441282033920288
16,,1631,0.7220866084098816,,0.6678956151008606,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7265625,,0.6413357257843018,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.7578125,,0.5508649349212646,,,,,,
17,,1727,,,,,0.4866536557674408,0.253363698720932,0.29386985301971436,0.20444290339946747,2.26820969581604,0.4868716895580292
17,,1727,0.7251790165901184,,0.6621963381767273,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.8203125,,0.5229957699775696,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.5,,1.4108750820159912,,,,,,
18,,1823,,,,,0.6767578125,0.3919370472431183,0.47573164105415344,0.3698776960372925,0.809844970703125,0.6126805543899536
18,,1823,0.7149251103401184,,0.6673330664634705,,,,,,,
