epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.625,,0.7291223406791687,,,,,,
0,,95,,,,,0.6097005009651184,0.30950096249580383,0.4476417005062103,0.3326907455921173,0.8949806690216064,0.5119205117225647
0,,95,0.5252278447151184,,0.9535408616065979,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.6484375,,0.6357769966125488,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.640625,,0.7447686791419983,,,,,,
1,,191,,,,,0.5758463740348816,0.27864351868629456,0.40387964248657227,0.29360276460647583,0.9559147357940674,0.4747304916381836
1,,191,0.5789387822151184,,0.8504481315612793,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.59375,,0.7191685438156128,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.5703125,,1.0060172080993652,,,,,,
2,,287,,,,,0.630859375,0.3151671886444092,0.452799916267395,0.33995136618614197,0.8785187602043152,0.5274733901023865
2,,287,0.5924479365348816,,0.8392009139060974,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.46875,,1.1157732009887695,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.4453125,,1.1912226676940918,,,,,,
3,,383,,,,,0.6461588740348816,0.3233446478843689,0.4647771120071411,0.35279157757759094,0.8588126301765442,0.5322446227073669
3,,383,0.610595703125,,0.8269626498222351,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.703125,,0.6196203827857971,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.6640625,,0.6653848886489868,,,,,,
4,,479,,,,,0.6647135615348816,0.33678141236305237,0.48407137393951416,0.3728359639644623,0.8358325958251953,0.547422468662262
4,,479,0.6319172978401184,,0.8028147220611572,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.7734375,,0.5527315139770508,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.6953125,,0.7023547291755676,,,,,,
5,,575,,,,,0.6337890625,0.3210465610027313,0.38399872183799744,0.2889363467693329,0.9651669859886169,0.543889045715332
5,,575,0.643798828125,,0.7960789799690247,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.6640625,,0.8340013027191162,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.6640625,,0.6909492611885071,,,,,,
6,,671,,,,,0.6555989384651184,0.32671135663986206,0.4677354097366333,0.35604575276374817,0.8672487139701843,0.5574157238006592
6,,671,0.6453450322151184,,0.7821272015571594,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.640625,,0.7144641876220703,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.6171875,,0.8032903671264648,,,,,,
7,,767,,,,,0.6416015625,0.30246463418006897,0.4324244260787964,0.3268507719039917,0.871998131275177,0.5673168301582336
7,,767,0.6617024540901184,,0.7611253261566162,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.6875,,0.5909056663513184,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.609375,,0.8003718852996826,,,,,,
8,,863,,,,,0.6985676884651184,0.35529327392578125,0.5091614127159119,0.40131452679634094,0.7988092303276062,0.5997652411460876
8,,863,0.669189453125,,0.7511147856712341,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.7421875,,0.6902236938476562,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.765625,,0.6584075689315796,,,,,,
9,,959,,,,,0.6598307490348816,0.3217755854129791,0.46166524291038513,0.352913498878479,0.8532379269599915,0.5892236232757568
9,,959,0.68212890625,,0.7345056533813477,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.6015625,,1.137451171875,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.7265625,,0.560600996017456,,,,,,
10,,1055,,,,,0.6962890625,0.3521842062473297,0.5078384876251221,0.40013572573661804,0.8175754547119141,0.6170740723609924
10,,1055,0.6870930790901184,,0.7234575748443604,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.5234375,,1.1853286027908325,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.6640625,,0.6875928044319153,,,,,,
11,,1151,,,,,0.7008463740348816,0.4000018537044525,0.5056948065757751,0.3965354859828949,0.8543477058410645,0.606113612651825
11,,1151,0.698974609375,,0.6974484920501709,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.78125,,0.5128309726715088,,,,,,
12,,1247,,,,,0.4752604067325592,0.29925599694252014,0.33006444573402405,0.23377366364002228,6.213292598724365,0.4863940179347992
12,,1247,0.7039387822151184,,0.6884507536888123,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.6796875,,0.5934138894081116,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.7421875,,0.6039950251579285,,,,,,
13,,1343,,,,,0.6793619990348816,0.3506665527820587,0.4678960144519806,0.37067148089408875,1.0811498165130615,0.5904549956321716
13,,1343,0.6946614384651184,,0.7029677033424377,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.6953125,,0.8624913692474365,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.6953125,,0.7091623544692993,,,,,,
14,,1439,,,,,0.6998698115348816,0.3898977041244507,0.5389463305473328,0.4238799810409546,0.9089128375053406,0.6122368574142456
14,,1439,0.7151692509651184,,0.6743747591972351,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.7265625,,0.6756316423416138,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.6640625,,0.9249371290206909,,,,,,
15,,1535,,,,,0.7037760615348816,0.3754458427429199,0.5310177803039551,0.42008185386657715,0.7728002667427063,0.6344477534294128
15,,1535,0.7246907353401184,,0.6527852416038513,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.5859375,,0.9091556072235107,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.7421875,,0.5520210266113281,,,,,,
16,,1631,,,,,0.7347005009651184,0.43035897612571716,0.5795930027961731,0.46821025013923645,0.8050961494445801,0.6387267112731934
16,,1631,0.7294921875,,0.6361010074615479,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.796875,,0.5266501903533936,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.703125,,0.6162992715835571,,,,,,
17,,1727,,,,,0.7535807490348816,0.43412840366363525,0.6003431677818298,0.48976612091064453,0.7342631816864014,0.6360843777656555
17,,1727,0.7328287959098816,,0.6307535767555237,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.7734375,,0.5282989740371704,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.609375,,1.2358558177947998,,,,,,
18,,1823,,,,,0.7340494990348816,0.4207416772842407,0.5791055560112,0.4650754928588867,0.7931286692619324,0.6491650342941284
18,,1823,0.7466633915901184,,0.6023340821266174,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.8046875,,0.4092054069042206,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.640625,,0.7148182392120361,,,,,,
19,,1919,,,,,0.751953125,0.4468628168106079,0.6100561022758484,0.49766016006469727,1.0710947513580322,0.6248218417167664
19,,1919,0.7454426884651184,,0.6008021235466003,,,,,,,
