epoch,lr-Adam,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_f1,val_f1_avg,val_iou,val_loss,val_roc_auc
,0.001,0,,,,,,,,,,
,0.001,49,,,,,,,,,,
0,,49,,0.6640625,,0.6257182359695435,,,,,,
0,,95,,,,,0.6389973759651184,0.3581973612308502,0.49988922476768494,0.3747873306274414,0.8161343932151794,0.5324248671531677
0,,95,0.614501953125,,0.8414327502250671,,,,,,,
,0.001,96,,,,,,,,,,
,0.001,99,,,,,,,,,,
1,,99,,0.6171875,,0.8129279017448425,,,,,,
,0.001,149,,,,,,,,,,
1,,149,,0.6171875,,0.7195329070091248,,,,,,
1,,191,,,,,0.666015625,0.36789047718048096,0.5451450943946838,0.42212820053100586,0.7716467380523682,0.5491928458213806
1,,191,0.6476237177848816,,0.7635364532470703,,,,,,,
,0.001,192,,,,,,,,,,
,0.001,199,,,,,,,,,,
2,,199,,0.5859375,,0.8862838745117188,,,,,,
,0.001,249,,,,,,,,,,
2,,249,,0.6484375,,0.7005760669708252,,,,,,
2,,287,,,,,0.6809895634651184,0.3741070330142975,0.5480931401252747,0.4244706630706787,0.7547048926353455,0.5550680756568909
2,,287,0.6549479365348816,,0.7403177618980408,,,,,,,
,0.001,288,,,,,,,,,,
,0.001,299,,,,,,,,,,
3,,299,,0.609375,,0.8596012592315674,,,,,,
,0.001,349,,,,,,,,,,
3,,349,,0.5859375,,0.9172876477241516,,,,,,
3,,383,,,,,0.6875,0.38562485575675964,0.5566635727882385,0.4355177581310272,0.7562823295593262,0.5582190155982971
3,,383,0.671630859375,,0.7191038131713867,,,,,,,
,0.001,384,,,,,,,,,,
,0.001,399,,,,,,,,,,
4,,399,,0.5546875,,0.8814584016799927,,,,,,
,0.001,449,,,,,,,,,,
4,,449,,0.6328125,,0.7170431613922119,,,,,,
4,,479,,,,,0.6943359375,0.37865570187568665,0.5586422681808472,0.4361687898635864,0.7461804747581482,0.5599316954612732
4,,479,0.6765950322151184,,0.7070973515510559,,,,,,,
,0.001,480,,,,,,,,,,
,0.001,499,,,,,,,,,,
5,,499,,0.703125,,0.6291713714599609,,,,,,
,0.001,549,,,,,,,,,,
5,,549,,0.640625,,0.7101261019706726,,,,,,
5,,575,,,,,0.6985676884651184,0.3837471306324005,0.5370165109634399,0.41657280921936035,0.7500047087669373,0.5579428672790527
5,,575,0.68359375,,0.69544917345047,,,,,,,
,0.001,576,,,,,,,,,,
,0.001,599,,,,,,,,,,
6,,599,,0.7734375,,0.6016565561294556,,,,,,
,0.001,649,,,,,,,,,,
6,,649,,0.7265625,,0.6462571620941162,,,,,,
6,,671,,,,,0.6809895634651184,0.37895306944847107,0.5616698861122131,0.43624329566955566,0.7646296620368958,0.5587370991706848
6,,671,0.691162109375,,0.6800786852836609,,,,,,,
,0.001,672,,,,,,,,,,
,0.001,699,,,,,,,,,,
7,,699,,0.765625,,0.5341881513595581,,,,,,
,0.001,749,,,,,,,,,,
7,,749,,0.6484375,,0.8225592374801636,,,,,,
7,,767,,,,,0.6907551884651184,0.38952991366386414,0.5709046125411987,0.4430977404117584,0.7487518787384033,0.5601783990859985
7,,767,0.6993815302848816,,0.6678955554962158,,,,,,,
,0.001,768,,,,,,,,,,
,0.001,799,,,,,,,,,,
8,,799,,0.765625,,0.5527330636978149,,,,,,
,0.001,849,,,,,,,,,,
8,,849,,0.6640625,,0.63606196641922,,,,,,
8,,863,,,,,0.6585286259651184,0.3725001811981201,0.5472695231437683,0.41510090231895447,0.7946319580078125,0.5614491105079651
8,,863,0.7027994990348816,,0.6607491374015808,,,,,,,
,0.001,864,,,,,,,,,,
,0.001,899,,,,,,,,,,
9,,899,,0.6484375,,0.8593253493309021,,,,,,
,0.001,949,,,,,,,,,,
9,,949,,0.6484375,,0.7314147353172302,,,,,,
9,,959,,,,,0.6979166865348816,0.39277634024620056,0.5780928730964661,0.45224252343177795,0.7616235613822937,0.5594223141670227
9,,959,0.713134765625,,0.6420236825942993,,,,,,,
,0.001,960,,,,,,,,,,
,0.001,999,,,,,,,,,,
10,,999,,0.78125,,0.5349464416503906,,,,,,
,0.001,1049,,,,,,,,,,
10,,1049,,0.6953125,,0.7510855197906494,,,,,,
10,,1055,,,,,0.6282551884651184,0.35076984763145447,0.5091353058815002,0.37764647603034973,0.8459718227386475,0.5753093361854553
10,,1055,0.714599609375,,0.6370091438293457,,,,,,,
,0.001,1056,,,,,,,,,,
,0.001,1099,,,,,,,,,,
11,,1099,,0.6484375,,0.7056721448898315,,,,,,
,0.001,1149,,,,,,,,,,
11,,1149,,0.734375,,0.591447114944458,,,,,,
11,,1151,,,,,0.7115885615348816,0.40705087780952454,0.554421603679657,0.43597421050071716,0.7299808859825134,0.5815916657447815
11,,1151,0.72314453125,,0.6256555914878845,,,,,,,
,0.001,1152,,,,,,,,,,
,0.001,1199,,,,,,,,,,
12,,1199,,0.734375,,0.5569943189620972,,,,,,
12,,1247,,,,,0.6904296875,0.39189770817756653,0.5447931885719299,0.42223191261291504,0.7704358696937561,0.5765047669410706
12,,1247,0.7316080927848816,,0.6167859435081482,,,,,,,
,0.001,1248,,,,,,,,,,
,0.001,1249,,,,,,,,,,
13,,1249,,0.6875,,0.6168533563613892,,,,,,
,0.001,1299,,,,,,,,,,
13,,1299,,0.796875,,0.4900469183921814,,,,,,
13,,1343,,,,,0.7112630009651184,0.40163812041282654,0.5601617693901062,0.44239160418510437,0.7357494235038757,0.5824471116065979
13,,1343,0.738525390625,,0.596561849117279,,,,,,,
,0.001,1344,,,,,,,,,,
,0.001,1349,,,,,,,,,,
14,,1349,,0.6875,,0.6385442614555359,,,,,,
,0.001,1399,,,,,,,,,,
14,,1399,,0.78125,,0.5190882086753845,,,,,,
14,,1439,,,,,0.7194010615348816,0.40490853786468506,0.5734297037124634,0.45476046204566956,0.7148049473762512,0.5751520395278931
14,,1439,0.7443034052848816,,0.5893843770027161,,,,,,,
,0.001,1440,,,,,,,,,,
,0.001,1449,,,,,,,,,,
15,,1449,,0.796875,,0.45457565784454346,,,,,,
,0.001,1499,,,,,,,,,,
15,,1499,,0.7421875,,0.560250997543335,,,,,,
15,,1535,,,,,0.7177734375,0.41348084807395935,0.5494882464408875,0.4334724247455597,0.7220808863639832,0.5875126719474792
15,,1535,0.7470703125,,0.5761157870292664,,,,,,,
,0.001,1536,,,,,,,,,,
,0.001,1549,,,,,,,,,,
16,,1549,,0.734375,,0.5748669505119324,,,,,,
,0.001,1599,,,,,,,,,,
16,,1599,,0.8125,,0.4734622836112976,,,,,,
16,,1631,,,,,0.7255859375,0.40709424018859863,0.5636023879051208,0.44931459426879883,0.7162325382232666,0.5720950365066528
16,,1631,0.7552083134651184,,0.5649568438529968,,,,,,,
,0.001,1632,,,,,,,,,,
,0.001,1649,,,,,,,,,,
17,,1649,,0.7890625,,0.5189262628555298,,,,,,
,0.001,1699,,,,,,,,,,
17,,1699,,0.7265625,,0.5313339233398438,,,,,,
17,,1727,,,,,0.6888020634651184,0.398519366979599,0.5403758883476257,0.4181850254535675,0.7759352326393127,0.5856698751449585
17,,1727,0.760986328125,,0.5548151135444641,,,,,,,
,0.001,1728,,,,,,,,,,
,0.001,1749,,,,,,,,,,
18,,1749,,0.71875,,0.555824875831604,,,,,,
,0.001,1799,,,,,,,,,,
18,,1799,,0.6953125,,0.8965955972671509,,,,,,
18,,1823,,,,,0.7190755009651184,0.41217145323753357,0.5494099855422974,0.4346005916595459,0.7194655537605286,0.5897721648216248
18,,1823,0.7615559697151184,,0.550571620464325,,,,,,,
,0.001,1824,,,,,,,,,,
,0.001,1849,,,,,,,,,,
19,,1849,,0.7265625,,0.6111407279968262,,,,,,
,0.001,1899,,,,,,,,,,
19,,1899,,0.7890625,,0.5453691482543945,,,,,,
19,,1919,,,,,0.7434895634651184,0.4185226261615753,0.5434795022010803,0.4352237284183502,0.6853823065757751,0.5943157076835632
19,,1919,0.7654622197151184,,0.5420432686805725,,,,,,,
,0.001,1920,,,,,,,,,,
,0.001,1949,,,,,,,,,,
20,,1949,,0.7109375,,0.7076783180236816,,,,,,
,0.001,1999,,,,,,,,,,
20,,1999,,0.796875,,0.5174944400787354,,,,,,
20,,2015,,,,,0.7389323115348816,0.4261491298675537,0.5824601054191589,0.46540406346321106,0.687993049621582,0.58757084608078
20,,2015,0.77197265625,,0.5294716954231262,,,,,,,
,0.001,2016,,,,,,,,,,
,0.001,2049,,,,,,,,,,
21,,2049,,0.828125,,0.40351608395576477,,,,,,
,0.001,2099,,,,,,,,,,
